#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
8i3s_H               -            230 IGHJ                 -             17   2.3e-11   41.7   0.6   1   1   2.3e-11   2.3e-11   41.7   0.6     2    17   103   118   103   118 0.98 mol:protein length:230  Heavy chain od Fab 7B3
7zr8_H               -            118 IGHJ                 -             17   2.3e-11   41.7   3.8   1   1   4.7e-11   4.8e-11   40.7   3.8     1    17   102   118   102   118 0.98 mol:protein length:118  Omi-38 fab heavy chain
7zrc_F               -            118 IGHJ                 -             17   2.3e-11   41.7   3.8   1   1   4.7e-11   4.8e-11   40.7   3.8     1    17   102   118   102   118 0.98 mol:protein length:118  Omi-38 Fab Heavy Chain
7zrc_H               -            118 IGHJ                 -             17   2.3e-11   41.7   3.8   1   1   4.7e-11   4.8e-11   40.7   3.8     1    17   102   118   102   118 0.98 mol:protein length:118  Omi-38 Fab Heavy Chain
7zrc_J               -            118 IGHJ                 -             17   2.3e-11   41.7   3.8   1   1   4.7e-11   4.8e-11   40.7   3.8     1    17   102   118   102   118 0.98 mol:protein length:118  Omi-38 Fab Heavy Chain
4kq3_H               -            226 IGHJ                 -             17   2.4e-11   41.6   3.0   1   1   2.4e-11   2.4e-11   41.6   3.0     2    17   102   117   102   117 0.98 mol:protein length:226  CNTO3186 heavy chain
7t7b_H               -            232 IGHJ                 -             17   2.5e-11   41.6   1.4   1   1   2.4e-11   2.5e-11   41.6   1.4     1    17   113   129   113   129 0.96 mol:protein length:232  ADI-62113 Fab heavy chain
7lf0_D               -            449 IGHJ                 -             17   2.6e-11   41.6   0.9   1   1     9e-11   9.1e-11   39.8   0.9     2    17   110   125   109   125 0.97 mol:protein length:449  mAb2 heavy chain
7lf0_F               -            449 IGHJ                 -             17   2.6e-11   41.6   0.9   1   1     9e-11   9.1e-11   39.8   0.9     2    17   110   125   109   125 0.97 mol:protein length:449  mAb2 heavy chain
7lf0_G               -            449 IGHJ                 -             17   2.6e-11   41.6   0.9   1   1     9e-11   9.1e-11   39.8   0.9     2    17   110   125   109   125 0.97 mol:protein length:449  mAb2 heavy chain
7lf0_K               -            449 IGHJ                 -             17   2.6e-11   41.6   0.9   1   1     9e-11   9.1e-11   39.8   0.9     2    17   110   125   109   125 0.97 mol:protein length:449  mAb2 heavy chain
7lf0_Q               -            449 IGHJ                 -             17   2.6e-11   41.6   0.9   1   1     9e-11   9.1e-11   39.8   0.9     2    17   110   125   109   125 0.97 mol:protein length:449  mAb2 heavy chain
7lf0_R               -            449 IGHJ                 -             17   2.6e-11   41.6   0.9   1   1     9e-11   9.1e-11   39.8   0.9     2    17   110   125   109   125 0.97 mol:protein length:449  mAb2 heavy chain
8g4m_D               -            236 IGHJ                 -             17   2.6e-11   41.5   2.5   1   1   2.6e-11   2.6e-11   41.5   2.5     2    17   109   124   108   124 0.98 mol:protein length:236  antibody heavy chain
8g4m_H               -            236 IGHJ                 -             17   2.6e-11   41.5   2.5   1   1   2.6e-11   2.6e-11   41.5   2.5     2    17   109   124   108   124 0.98 mol:protein length:236  antibody heavy chain
8g4m_J               -            236 IGHJ                 -             17   2.6e-11   41.5   2.5   1   1   2.6e-11   2.6e-11   41.5   2.5     2    17   109   124   108   124 0.98 mol:protein length:236  antibody heavy chain
4wuu_E               -            223 IGHJ                 -             17   2.8e-11   41.4   3.4   1   1   2.7e-11   2.8e-11   41.4   3.4     1    17   105   121   105   121 0.99 mol:protein length:223  IMMUNOGLOBULIN HEAVY CHAIN
4xvj_H               -            141 IGHJ                 -             17   2.8e-11   41.4   2.8   1   1   7.7e-11   7.8e-11   40.0   2.8     3    17   114   128   112   128 0.96 mol:protein length:141  antibody heavy chain variable domain
7dm1_D               -            233 IGHJ                 -             17   2.8e-11   41.4   2.5   1   1   2.7e-11   2.8e-11   41.4   2.5     2    17   113   128   112   128 0.98 mol:protein length:233  heavy chain
7dm1_F               -            233 IGHJ                 -             17   2.8e-11   41.4   2.5   1   1   2.7e-11   2.8e-11   41.4   2.5     2    17   113   128   112   128 0.98 mol:protein length:233  heavy chain
3wsq_H               -            218 IGHJ                 -             17   2.9e-11   41.4   2.7   1   1   2.8e-11   2.9e-11   41.4   2.7     1    17   102   118   102   118 0.99 mol:protein length:218  Antibody Heavy Chain
7wvm_A               -            117 IGHJ                 -             17   2.9e-11   41.4   2.3   1   1   6.6e-11   6.7e-11   40.2   2.3     3    17   103   117   102   117 0.98 mol:protein length:117  Heavy Chain of Cemiplimab
7wvm_C               -            117 IGHJ                 -             17   2.9e-11   41.4   2.3   1   1   6.6e-11   6.7e-11   40.2   2.3     3    17   103   117   102   117 0.98 mol:protein length:117  Heavy Chain of Cemiplimab
7rxl_C               -            224 IGHJ                 -             17     3e-11   41.3   4.0   1   1   2.9e-11     3e-11   41.3   4.0     1    17   105   121   105   121 0.97 mol:protein length:224  Fab1488 heavy chain
7rxl_H               -            224 IGHJ                 -             17     3e-11   41.3   4.0   1   1   2.9e-11     3e-11   41.3   4.0     1    17   105   121   105   121 0.97 mol:protein length:224  Fab1488 heavy chain
8a44_C               -            225 IGHJ                 -             17     3e-11   41.3   2.7   1   1   2.9e-11     3e-11   41.3   2.7     1    17   107   123   107   123 0.99 mol:protein length:225  Heavy chain of monoclonal antibody DB1
7f3q_C               -            227 IGHJ                 -             17     3e-11   41.3   4.0   1   1     3e-11     3e-11   41.3   4.0     1    17   111   127   111   127 0.97 mol:protein length:227  Heavy chain of A5-10 Fab
7f7e_C               -            227 IGHJ                 -             17     3e-11   41.3   4.0   1   1     3e-11     3e-11   41.3   4.0     1    17   111   127   111   127 0.97 mol:protein length:227  Heavy chain of A5-10 Fab
3u6r_A               -            149 IGHJ                 -             17     3e-11   41.3   4.7   1   1   7.9e-11     8e-11   40.0   4.7     2    17   114   129   114   129 0.98 mol:protein length:149  Antibody 1:7 (Heavy chain)
3u6r_H               -            149 IGHJ                 -             17     3e-11   41.3   4.7   1   1   7.9e-11     8e-11   40.0   4.7     2    17   114   129   114   129 0.98 mol:protein length:149  Antibody 1:7 (Heavy chain)
7ps6_H               -            231 IGHJ                 -             17   3.1e-11   41.3   1.5   1   1   3.1e-11   3.1e-11   41.3   1.5     1    17   110   126   110   126 0.96 mol:protein length:231  Beta-54 Fab heavy chain
7q0h_H               -            231 IGHJ                 -             17   3.1e-11   41.3   1.5   1   1   3.1e-11   3.1e-11   41.3   1.5     1    17   110   126   110   126 0.96 mol:protein length:231  Beta-54 Fab heavy chain
7zf5_B               -            231 IGHJ                 -             17   3.1e-11   41.3   1.5   1   1   3.1e-11   3.1e-11   41.3   1.5     1    17   110   126   110   126 0.96 mol:protein length:231  Beta-54 heavy chain
7zf5_H               -            231 IGHJ                 -             17   3.1e-11   41.3   1.5   1   1   3.1e-11   3.1e-11   41.3   1.5     1    17   110   126   110   126 0.96 mol:protein length:231  Beta-54 heavy chain
7rku_E               -            240 IGHJ                 -             17   3.2e-11   41.3   0.5   1   1   3.1e-11   3.2e-11   41.3   0.5     2    17   114   129   113   129 0.97 mol:protein length:240  C022 Antibody Fab Heavy Chain
7rku_G               -            240 IGHJ                 -             17   3.2e-11   41.3   0.5   1   1   3.1e-11   3.2e-11   41.3   0.5     2    17   114   129   113   129 0.97 mol:protein length:240  C022 Antibody Fab Heavy Chain
7rku_H               -            240 IGHJ                 -             17   3.2e-11   41.3   0.5   1   1   3.1e-11   3.2e-11   41.3   0.5     2    17   114   129   113   129 0.97 mol:protein length:240  C022 Antibody Fab Heavy Chain
7rku_J               -            240 IGHJ                 -             17   3.2e-11   41.3   0.5   1   1   3.1e-11   3.2e-11   41.3   0.5     2    17   114   129   113   129 0.97 mol:protein length:240  C022 Antibody Fab Heavy Chain
8tr3_H               -            124 IGHJ                 -             17   3.3e-11   41.2   1.9   1   1   1.1e-10   1.1e-10   39.5   1.9     3    17   110   124   109   124 0.97 mol:protein length:124  HmAb64 Fv heavy chain
8tr3_I               -            124 IGHJ                 -             17   3.3e-11   41.2   1.9   1   1   1.1e-10   1.1e-10   39.5   1.9     3    17   110   124   109   124 0.97 mol:protein length:124  HmAb64 Fv heavy chain
8tr3_J               -            124 IGHJ                 -             17   3.3e-11   41.2   1.9   1   1   1.1e-10   1.1e-10   39.5   1.9     3    17   110   124   109   124 0.97 mol:protein length:124  HmAb64 Fv heavy chain
7q9g_E               -            119 IGHJ                 -             17   3.3e-11   41.2   1.6   1   1   3.3e-11   3.3e-11   41.2   1.6     2    17   104   119   104   119 0.97 mol:protein length:119  COVOX-222 heavy chain
7q9g_H               -            119 IGHJ                 -             17   3.3e-11   41.2   1.6   1   1   3.3e-11   3.3e-11   41.2   1.6     2    17   104   119   104   119 0.97 mol:protein length:119  COVOX-222 heavy chain
6df1_H               -            247 IGHJ                 -             17   3.3e-11   41.2   4.0   1   1   3.3e-11   3.3e-11   41.2   4.0     1    17   128   144   128   144 0.97 mol:protein length:247  Anti-phosphotyrosine antibody 4G10-4D5 light chain
8sas_C               -            127 IGHJ                 -             17   3.5e-11   41.1   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.5 variable heavy chian
8sas_H               -            127 IGHJ                 -             17   3.5e-11   41.1   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.5 variable heavy chian
8sas_M               -            127 IGHJ                 -             17   3.5e-11   41.1   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.5 variable heavy chian
7m42_B               -            229 IGHJ                 -             17   3.6e-11   41.1   0.7   1   1   3.5e-11   3.6e-11   41.1   0.7     2    17   108   123   107   123 0.97 mol:protein length:229  REGN10989 antibody Fab fragment heavy chain
7s5r_B               -            226 IGHJ                 -             17   3.6e-11   41.1   1.7   1   1   3.6e-11   3.6e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:226  CV07-287 Heavy chain
8eoo_E               -            227 IGHJ                 -             17   3.6e-11   41.1   1.7   1   1   3.6e-11   3.6e-11   41.1   1.7     1    17   108   124   108   124 0.98 mol:protein length:227  WRAIR-2063 antibody Fab heavy chain
8eoo_H               -            227 IGHJ                 -             17   3.6e-11   41.1   1.7   1   1   3.6e-11   3.6e-11   41.1   1.7     1    17   108   124   108   124 0.98 mol:protein length:227  WRAIR-2063 antibody Fab heavy chain
7ben_D               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253 heavy chain
7ben_H               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253 heavy chain
7beo_C               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253H55L heavy chain
7beo_H               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253H55L heavy chain
7ora_F               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253 Fab heavy chain
7ora_H               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253 Fab heavy chain
7orb_C               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253 Fab heavy chain
7orb_H               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  COVOX-253 Fab heavy chain
7zf5_D               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  Omi-12 heavy chain
7zf5_G               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  Omi-12 heavy chain
7zf6_H               -            228 IGHJ                 -             17   3.7e-11   41.1   1.7   1   1   3.6e-11   3.7e-11   41.1   1.7     1    17   107   123   107   123 0.98 mol:protein length:228  Omi-12 heavy chain
4kfz_C               -            129 IGHJ                 -             17   3.7e-11   41.1   4.3   1   1   6.6e-11   6.7e-11   40.2   4.3     1    17   113   129   113   129 0.96 mol:protein length:129  Anti-LMO2 VH
4kfz_D               -            129 IGHJ                 -             17   3.7e-11   41.1   4.3   1   1   6.6e-11   6.7e-11   40.2   4.3     1    17   113   129   113   129 0.96 mol:protein length:129  Anti-LMO2 VH
8sb5_C               -            127 IGHJ                 -             17   3.7e-11   41.0   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.I1.6 variable heavy chain
8sb5_H               -            127 IGHJ                 -             17   3.7e-11   41.0   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.I1.6 variable heavy chain
8sb5_M               -            127 IGHJ                 -             17   3.7e-11   41.0   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.I1.6 variable heavy chain
8sb2_C               -            127 IGHJ                 -             17   3.8e-11   41.0   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.I2.6 variable heavy chain
8sb2_H               -            127 IGHJ                 -             17   3.8e-11   41.0   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.I2.6 variable heavy chain
8sb2_M               -            127 IGHJ                 -             17   3.8e-11   41.0   0.3   1   1   1.2e-10   1.2e-10   39.4   0.3     4    17   114   127   111   127 0.94 mol:protein length:127  DH270.I2.6 variable heavy chain
7y7j_E               -            132 IGHJ                 -             17   3.8e-11   41.0   1.6   1   1   3.8e-11   3.8e-11   41.0   1.6     2    17   117   132   117   132 0.97 mol:protein length:132  1F VH
7y7k_B               -            132 IGHJ                 -             17   3.8e-11   41.0   1.6   1   1   3.8e-11   3.8e-11   41.0   1.6     2    17   117   132   117   132 0.97 mol:protein length:132  1F VH
7d4g_N               -            122 IGHJ                 -             17   3.9e-11   41.0   4.3   1   1   9.9e-11     1e-10   39.7   4.3     2    17   107   122   106   122 0.98 mol:protein length:122  Heavy chain of FC05 Fab
7nd9_H               -            241 IGHJ                 -             17   3.9e-11   41.0   1.7   1   1   3.9e-11   3.9e-11   41.0   1.7     1    17   120   136   120   136 0.98 mol:protein length:241  COVOX-253H55L Fab heavy chain
7nda_H               -            241 IGHJ                 -             17   3.9e-11   41.0   1.7   1   1   3.9e-11   3.9e-11   41.0   1.7     1    17   120   136   120   136 0.98 mol:protein length:241  COVOX-253H55L Fab heavy chain
7ndb_H               -            241 IGHJ                 -             17   3.9e-11   41.0   1.7   1   1   3.9e-11   3.9e-11   41.0   1.7     1    17   120   136   120   136 0.98 mol:protein length:241  COVOX-253H165L Fab heavy chain
8eqf_H               -            123 IGHJ                 -             17   3.9e-11   41.0   5.3   1   1   8.6e-11   8.7e-11   39.9   5.3     2    17   108   123   107   123 0.98 mol:protein length:123  Fab heavy chain
7zxk_H               -            229 IGHJ                 -             17     4e-11   40.9   0.9   1   1     4e-11     4e-11   40.9   0.9     2    17   111   126   110   126 0.97 mol:protein length:229  SRF388 Heavy Chain
