pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8xs2	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/15/25	Crystal structure of Fab fragment of anti-osteocalcin C-terminal peptide antibody KTM219 with addition of fluorophore TAMRA	Mus musculus	mus musculus	mus musculus		Yazaki, S., Ueda, H., Arai, R.	2.14	X-RAY DIFFRACTION	0.244	0.202	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8xx3	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN/IMMUNE SYSTEM	01/15/25	Structure of CXCR2 bound to CXCL3 (CXCR2-CXCL3-Go Full map)	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Sano, F.K., Saha, S., Sharma, S., Ganguly, M., Shihoya, W., Nureki, O., Shukla, A.K., Banerjee, R.	3.38	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8xx6	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN/IMMUNE SYSTEM	01/15/25	Structure of CXCR2 bound to CXCL8 (CXCR2-CXCL8-Go Full map)	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Sano, F.K., Saha, S., Sharma, S., Ganguly, M., Shihoya, W., Nureki, O., Shukla, A.K., Banerjee, R.	2.99	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8xxh	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN/IMMUNE SYSTEM	01/15/25	Structure of CXCR2 bound to CXCL2 (CXCR2-CXCL2-Go Full map)	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Sano, F.K., Saha, S., Sharma, S., Ganguly, M., Shihoya, W., Nureki, O., Shukla, A.K., Banerjee, R.	2.8	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8xxr	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN/IMMUNE SYSTEM	01/15/25	Structure of CXCR2 bound to CXCL6 (CXCR2-CXCL6-Go Full map)	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Sano, F.K., Saha, S., Sharma, S., Ganguly, M., Shihoya, W., Nureki, O., Shukla, A.K., Banerjee, R.	3.17	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8xxx	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN/IMMUNE SYSTEM	01/15/25	Structure of CXCR2 bound to CXCL6 (Composite map)	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Sano, F.K., Saha, S., Sharma, S., Ganguly, M., Shihoya, W., Nureki, O., Shukla, A.K., Banerjee, R.	3.17	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
9hk1	H	L	0	A	protein	NA	programmed cell death protein 1	IMMUNOSUPPRESSANT	01/15/25	PD1 signaling receptor bound to FAB Complex	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Bjorkelid, C., Paluch, C., Robertson, N.J.	2.03	X-RAY DIFFRACTION	0.276	0.210	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9hk1	I	M	0	B	protein	NA	programmed cell death protein 1	IMMUNOSUPPRESSANT	01/15/25	PD1 signaling receptor bound to FAB Complex	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Bjorkelid, C., Paluch, C., Robertson, N.J.	2.03	X-RAY DIFFRACTION	0.276	0.210	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8zpp	H	L	0	A	protein	NA	spike glycoprotein,fibritin	VIRAL PROTEIN	12/25/24	Local CryoEM structure of the SARS-CoV-2 BA.5 in complex with ORB10 Fab	Mus musculus; Severe acute respiratory syndrome coronavirus 2	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Cao, S., Leng, C., Hu, H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cbn	A	B	0	C	protein	NA	structural protein	VIRAL PROTEIN/IMMUNE SYSTEM	12/25/24	HAstV1 spike in complex with neutralizing Fabs 3H4 and 3B4	Human astrovirus 1; Mus musculus	mus musculus	mus musculus	human astrovirus 1	Lanning, S., DuBois, R.M., Balasco Serrao, V.H.	3.33	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
9cbn	E	F	0	D	protein	NA	structural protein	VIRAL PROTEIN/IMMUNE SYSTEM	12/25/24	HAstV1 spike in complex with neutralizing Fabs 3H4 and 3B4	Human astrovirus 1; Mus musculus	mus musculus	mus musculus	human astrovirus 1	Lanning, S., DuBois, R.M., Balasco Serrao, V.H.	3.33	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
9cbn	G	H	0	C	protein	NA	structural protein	VIRAL PROTEIN/IMMUNE SYSTEM	12/25/24	HAstV1 spike in complex with neutralizing Fabs 3H4 and 3B4	Human astrovirus 1; Mus musculus	mus musculus	mus musculus	human astrovirus 1	Lanning, S., DuBois, R.M., Balasco Serrao, V.H.	3.33	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
9cn2	B	B	0	A	protein	NA	spike protein	VIRAL PROTEIN	12/25/24	Human astrovirus 2 spike bound to neutralizing scFv 4B6	Human astrovirus 2; Mus musculus	mus musculus		human astrovirus 2	Lanning, S., DuBois, R.M.	2.67	X-RAY DIFFRACTION	0.259	0.212	True	True	unknown	unknown	unknown	None	None	None	None	None
8v8f	B	B	0	E	peptide	NA	utag	PEPTIDE BINDING PROTEIN	12/11/24	The co-crystal structure of anti-HIV scFv and Utag.	Mus musculus; SYNTHETIC CONSTRUCT	mus musculus		human immunodeficiency virus 1	Chen, S.H., Snow, C.D.	2.27	X-RAY DIFFRACTION	0.280	0.222	True	True	unknown	unknown	unknown	None	None	None	None	None
8v8f	A	A	0	H	peptide	NA	utag	PEPTIDE BINDING PROTEIN	12/11/24	The co-crystal structure of anti-HIV scFv and Utag.	Mus musculus; SYNTHETIC CONSTRUCT	mus musculus		human immunodeficiency virus 1	Chen, S.H., Snow, C.D.	2.27	X-RAY DIFFRACTION	0.280	0.222	True	True	unknown	unknown	unknown	None	None	None	None	None
8v8f	C	C	0	F	peptide	NA	utag	PEPTIDE BINDING PROTEIN	12/11/24	The co-crystal structure of anti-HIV scFv and Utag.	Mus musculus; SYNTHETIC CONSTRUCT	mus musculus		human immunodeficiency virus 1	Chen, S.H., Snow, C.D.	2.27	X-RAY DIFFRACTION	0.280	0.222	True	True	unknown	unknown	unknown	None	None	None	None	None
8v8f	D	D	0	G	peptide	NA	utag	PEPTIDE BINDING PROTEIN	12/11/24	The co-crystal structure of anti-HIV scFv and Utag.	Mus musculus; SYNTHETIC CONSTRUCT	mus musculus		human immunodeficiency virus 1	Chen, S.H., Snow, C.D.	2.27	X-RAY DIFFRACTION	0.280	0.222	True	True	unknown	unknown	unknown	None	None	None	None	None
8v93	A	C	0	D	protein	NA	type 1 fimbrin d-mannose specific adhesin fimh, donorstrand complemented with fimg peptide 'triple mutant' 	CELL ADHESION/IMMUNE SYSTEM	12/18/24	Cryo-EM structure of E. coli FimH lectin domain bound to Fabs 329-2 and 454-3	Escherichia coli; Mus musculus	mus musculus	mus musculus	escherichia coli	Lees, J.A., Han, S.	3.12	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV12	Kappa	None	None	None	None	None
8v93	B	L	0	D	protein	NA	type 1 fimbrin d-mannose specific adhesin fimh, donorstrand complemented with fimg peptide 'triple mutant' 	CELL ADHESION/IMMUNE SYSTEM	12/18/24	Cryo-EM structure of E. coli FimH lectin domain bound to Fabs 329-2 and 454-3	Escherichia coli; Mus musculus	mus musculus	mus musculus	escherichia coli	Lees, J.A., Han, S.	3.12	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV5	Kappa	None	None	None	None	None
9ast	E	E	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	12/11/24	Cryo-EM structure of XCR1 signaling complex	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens | homo sapiens	Zhang, X., Zhang, C.	3.07	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8zd5	H	I	0	G	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the holo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	2.89	X-RAY DIFFRACTION	0.249	0.201	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd5	E	F	0	D	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the holo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	2.89	X-RAY DIFFRACTION	0.249	0.201	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd5	B	C	0	A	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the holo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	2.89	X-RAY DIFFRACTION	0.249	0.201	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd5	K	L	0	J	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the holo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	2.89	X-RAY DIFFRACTION	0.249	0.201	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd6	B	C	0	A	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the apo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	3.29	X-RAY DIFFRACTION	0.326	0.277	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd6	E	F	0	D	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the apo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	3.29	X-RAY DIFFRACTION	0.326	0.277	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd6	H	I	0	G	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the apo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	3.29	X-RAY DIFFRACTION	0.326	0.277	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8zd6	K	L	0	J	protein	NA	superoxide dismutase [cu-zn]	METAL BINDING PROTEIN	11/27/24	Crystal structure of E40K variant of Cu/Zn-superoxide dismutase from dog (Canis familiaris) in the apo form complexed with 22E1 Fv-clasp	Canis lupus familiaris; Mus musculus	mus musculus	mus musculus	canis lupus familiaris	Shino, Y., Furukawa, Y., Muraki, N.	3.29	X-RAY DIFFRACTION	0.326	0.277	False	True	IGHV14	IGKV14	Kappa	None	None	None	None	None
8p12	H	L	0	B | G	protein | peptide	NA | NA	guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1  | guanine nucleotide-binding protein g(t) subunit gamma-t1	SIGNALING PROTEIN	11/20/24	Cryo-EM structure of Rhodopsin-Gi bound to antibody fragment Fab13	Bos taurus; Homo sapiens; Mus musculus	mus musculus	mus musculus	bos taurus | bos taurus	Pamula, F., Tejero, O., Muehle, J., Thoma, R., Schertler, G.F.X., Marino, J., Tsai, C.-J.	3.21	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGKV1	Kappa	None	None	None	None	None
8x3l	S	S	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN/IMMUNE SYSTEM	11/20/24	Cryo-EM structure of CB2-G protein complex	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Shen, S.Y., Yang, Z.Q., Shao, Z.H.	3.13	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8wz3	D	F	0	A	protein	NA	rsv fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 strain: A2) in complex with nAb 5B11	Human respiratory syncytial virus A2; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus a2	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.19	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8wz3	E	H	0	B	protein	NA	rsv fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 strain: A2) in complex with nAb 5B11	Human respiratory syncytial virus A2; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus a2	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.19	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8wz3	G	K	0	C	protein	NA	rsv fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 strain: A2) in complex with nAb 5B11	Human respiratory syncytial virus A2; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus a2	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.19	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8wz5	H	L	0	A	protein	NA	rsv fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 sc9-10 strain: B18537) in complex with humanized nAb 5B11	Human respiratory syncytial virus B; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus b	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.51	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8wz5	D	F	0	B	protein	NA	rsv fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 sc9-10 strain: B18537) in complex with humanized nAb 5B11	Human respiratory syncytial virus B; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus b	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.51	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8wz5	E	G	0	C	protein	NA	rsv fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 sc9-10 strain: B18537) in complex with humanized nAb 5B11	Human respiratory syncytial virus B; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus b	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.51	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8wze	H	L	0	C	protein	NA	rsv pre-fusion glycoprotein	VIRAL PROTEIN	11/13/24	Cryo-EM structure of prefusion-stabilized RSV F (DS-Cav1 sc9-10 strain: B18537) in complex with humanized nAb 5B11 (localized refinement)	Human respiratory syncytial virus B; Mus musculus	mus musculus	mus musculus	human respiratory syncytial virus b	Liu, L., Sun, H., Sun, Y., Zheng, Q., Li, S., Zheng, Z., Xia, N.	3.32	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV9	IGKV12	Kappa	None	None	None	None	None
8xcd	H	L	0	A	protein	NA	solute carrier family 10 member a1	TRANSPORT PROTEIN/IMMUNE SYSTEM	11/13/24	Macaca fascicularis NTCP in complex with YN69083 Fab	Macaca fascicularis; Mus musculus	mus musculus	mus musculus	macaca fascicularis	Park, J.H., Ishimoto, N., Park, S.Y.	3.49	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
8xyd	E	E	0	D | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	11/13/24	Structure of Platelet-activating factor receptor-G protein complex bound to platelet-activating factor	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Fan, W., Xu, Y., Zhuang, Y., Xu, H.E.	2.9	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
9axl	H	L	0	B	protein	NA	integrin beta-3	BLOOD CLOTTING/IMMUNE SYSTEM	11/13/24	Structure of the semi-extended AlphaIIbBeta3 in complex with R21D10 Fab	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Wang, J.L., Walz, T., Coller, B., Wang, L., Li, J.H.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cx9	H	L	0	A | V	protein | peptide	NA | NA	beta-arrestin-1 | vasopressin v2 receptor	SIGNALING PROTEIN	11/13/24	Structure of SH3 domain of Src in complex with beta-arrestin 1	Gallus gallus; Mus musculus; Rattus norvegicus; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	rattus norvegicus | homo sapiens	Pakharukova, N., Bansia, H., Lefkowitz, R.J., des Georges, A.	3.34	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
9dez	H	L	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/13/24	PDCoV S trimer bound by three copies of PD41 Fab	Mus musculus; Porcine deltacoronavirus	mus musculus	mus musculus	porcine deltacoronavirus	Asarnow, D., Rexhepaj, M., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D., Center for Structural Genomics of Infectious Diseases (CSGID)	2.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
9dez	I	M	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/13/24	PDCoV S trimer bound by three copies of PD41 Fab	Mus musculus; Porcine deltacoronavirus	mus musculus	mus musculus	porcine deltacoronavirus	Asarnow, D., Rexhepaj, M., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D., Center for Structural Genomics of Infectious Diseases (CSGID)	2.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
9dez	J	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/13/24	PDCoV S trimer bound by three copies of PD41 Fab	Mus musculus; Porcine deltacoronavirus	mus musculus	mus musculus	porcine deltacoronavirus	Asarnow, D., Rexhepaj, M., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D., Center for Structural Genomics of Infectious Diseases (CSGID)	2.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
9df0	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/13/24	PDCoV S RBD bound to PD41 Fab (local refinement)	Mus musculus; Porcine deltacoronavirus	mus musculus	mus musculus	porcine deltacoronavirus	Asarnow, D., Rexhepaj, M., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	2.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
8k4s	D	D	0	A | B	protein | protein	NA | NA	gs-mini-gq chimera | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	11/06/24	CryoEM structure of Gq coupled MRGPRX4 with agonist DCA-3P	Aequorea victoria; Escherichia coli; Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Yang, J., Fan, J.P., Lei, X.G.	2.9	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8pxo	D	C	0	B	protein	NA	broad substrate specificity atp-binding cassettetransporter abcg2 	TRANSPORT PROTEIN	11/06/24	ABCG2 in complex with AZ99 and 5D3 Fab	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Yu, Q., Kowal, J., Tajkhorshid, E., Altmann, K.H., Locher, K.P.	3.0	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV3	IGKV13	Kappa	None	None	None	None	None
